shipment_id,order_id,carrier,tracking_number,ship_date,delivery_date,status,shipping_address,city,state,zip
SHP-000001,ORD-000001,USPS,1Z450798348,2022-02-03,,out_for_delivery,3682 Main Ave,Fort Worth,MD,32125
SHP-000002,ORD-000002,UPS,LD539790808,2024-09-03,2024-09-15,in_transit,2237 Cedar Ave,Columbus,DE,26258
SHP-000003,ORD-000004,DHL,1Z689864518,2023-02-02,2023-02-11,returned,8675 Cedar Ave,San Antonio,NE,90280
SHP-000004,ORD-000005,USPS,9400268290622,2023-02-02,2023-02-14,out_for_delivery,2710 Elm St,Philadelphia,MA,58776
SHP-000005,ORD-000006,DHL,LD999275392,2024-01-20,,in_transit,1200 Cedar Blvd,Los Angeles,MS,93947
SHP-000006,ORD-000007,USPS,LD817981383,2025-01-09,2025-01-23,in_transit,1206 Main Dr,Chicago,KS,43568
SHP-000007,ORD-000008,FedEx,9400580770685,2025-04-29,,delivered,8742 Pine Ln,New York,NV,37951
SHP-000008,ORD-000009,USPS,LD955153800,2023-05-03,,delivered,8781 Oak Blvd,Indianapolis,HI,50827
SHP-000009,ORD-000010,USPS,9400754478807,2024-06-16,,in_transit,8243 Oak Dr,New York,LA,82865
SHP-000010,ORD-000011,USPS,1Z614255276,2023-02-06,2023-02-07,delivered,3513 Cedar Ln,Charlotte,AK,81414
SHP-000011,ORD-000012,FedEx,1Z772335891,2022-08-21,2022-09-02,out_for_delivery,8487 Main St,San Jose,MD,16631
SHP-000012,ORD-000013,USPS,LD931968978,2022-12-16,,out_for_delivery,1978 Oak Dr,Charlotte,IL,19551
SHP-000013,ORD-000014,Amazon Logistics,9400813082999,2023-03-25,,returned,3474 Main Ln,San Antonio,MD,83122
SHP-000014,ORD-000015,UPS,LD434891503,2025-04-02,,delivered,1126 Elm Dr,Charlotte,AL,73854
SHP-000015,ORD-000017,USPS,,2025-02-19,2025-02-23,out_for_delivery,3098 Cedar Dr,Phoenix,MD,19245
SHP-000016,ORD-000018,USPS,1Z511587715,2022-07-07,2022-07-09,delivered,9923 Cedar Blvd,Los Angeles,KY,65426
SHP-000017,ORD-000019,Amazon Logistics,LD926458996,2024-04-12,2024-04-13,delivered,9312 Cedar Blvd,Columbus,ME,35445
SHP-000018,ORD-000020,USPS,792675589621,2023-09-03,2023-09-08,delivered,8845 Cedar Ave,Houston,ME,30409
SHP-000019,ORD-000021,USPS,9400559212182,2022-04-28,2022-05-02,delivered,3195 Elm Ln,Denver,NH,44033
SHP-000020,ORD-000022,USPS,LD204580131,2024-01-20,2024-02-03,in_transit,715 Oak Ave,San Diego,ME,69107
SHP-000021,ORD-000023,USPS,792822093598,2022-08-26,2022-09-06,in_transit,1608 Elm Dr,Austin,CT,95190
SHP-000022,ORD-000024,UPS,792621828981,2024-05-17,2024-05-20,delivered,209 Main Blvd,Dallas,AR,63924
SHP-000023,ORD-000025,Amazon Logistics,LD918570499,2022-09-14,2022-09-28,delivered,2796 Oak Ave,Houston,CO,67588
SHP-000024,ORD-000026,USPS,9400979577492,2022-05-18,2022-05-29,delivered,8387 Pine Ave,Indianapolis,CO,29388
SHP-000025,ORD-000028,USPS,792490095876,2022-02-20,2022-02-28,delivered,5379 Oak Dr,Columbus,MA,23011
SHP-000026,ORD-000029,Amazon Logistics,LD570900413,2022-02-15,2022-02-16,delivered,504 Maple Ln,New York,MD,60823
SHP-000027,ORD-000030,UPS,LD204640289,2023-11-03,2023-11-13,delivered,6957 Cedar St,San Diego,MO,60639
SHP-000028,ORD-000031,FedEx,9400388458402,2023-09-21,2023-10-01,delivered,186 Pine Dr,Washington,GA,64553
SHP-000029,ORD-000032,UPS,,2023-08-10,2023-08-14,delivered,9562 Cedar Ln,San Jose,IL,64699
SHP-000030,ORD-000033,UPS,9400940348822,2022-11-12,2022-11-26,out_for_delivery,9894 Main Ln,San Antonio,MS,72609
SHP-000031,ORD-000034,Amazon Logistics,9400508040902,2023-03-02,2023-03-14,delivered,6122 Maple Blvd,Jacksonville,MS,33694
SHP-000032,ORD-000035,FedEx,,2022-12-02,,in_transit,4081 Cedar Dr,Philadelphia,MT,40808
